date,fund_id,universe,method,method_label,daily_return,rebalance_date,live_start_date,live_end_date,training_observations,periods_per_year,growth_of_1,drawdown
2021-01-04,Equity - Equal Weight,Equity,equal_weight,Equal Weight,-0.013701064199660192,2020-12-31,2021-01-04,2021-01-29,252,252,0.9862989358003398,0.0
2021-01-05,Equity - Equal Weight,Equity,equal_weight,Equal Weight,0.012674408604811125,2020-12-31,2021-01-04,2021-01-29,252,252,0.9987996915191637,0.0
2021-01-06,Equity - Equal Weight,Equity,equal_weight,Equal Weight,0.013264430714510802,2020-12-31,2021-01-04,2021-01-29,252,252,1.0120482008249945,0.0
2021-01-07,Equity - Equal Weight,Equity,equal_weight,Equal Weight,0.009679796812702826,2020-12-31,2021-01-04,2021-01-29,252,252,1.0218446217736419,0.0
2021-01-08,Equity - Equal Weight,Equity,equal_weight,Equal Weight,0.0028657693620504298,2020-12-31,2021-01-04,2021-01-29,252,252,1.0247729927834968,0.0
2021-01-11,Equity - Equal Weight,Equity,equal_weight,Equal Weight,-8.806647741709244e-05,2020-12-31,2021-01-04,2021-01-29,252,252,1.0246827446358702,-8.80664774171036e-05
2021-01-12,Equity - Equal Weight,Equity,equal_weight,Equal Weight,0.0030128435744148875,2020-12-31,2021-01-04,2021-01-29,252,252,1.02776995345886,0.0
2021-01-13,Equity - Equal Weight,Equity,equal_weight,Equal Weight,8.70916577731952e-05,2020-12-31,2021-01-04,2021-01-29,252,252,1.0278594636479161,0.0
2021-01-14,Equity - Equal Weight,Equity,equal_weight,Equal Weight,0.003088648294878564,2020-12-31,2021-01-04,2021-01-29,252,252,1.031034160027687,0.0
2021-01-15,Equity - Equal Weight,Equity,equal_weight,Equal Weight,-0.010835450462099164,2020-12-31,2021-01-04,2021-01-29,252,252,1.019862440461975,-0.010835450462099327
2021-01-19,Equity - Equal Weight,Equity,equal_weight,Equal Weight,0.007283796632033242,2020-12-31,2021-01-04,2021-01-29,252,252,1.027290911070949,-0.0036305770476485755
2021-01-20,Equity - Equal Weight,Equity,equal_weight,Equal Weight,0.007972222095949905,2020-12-31,2021-01-04,2021-01-29,252,252,1.0354807023711574,0.0
2021-01-21,Equity - Equal Weight,Equity,equal_weight,Equal Weight,-0.007354873075140489,2020-12-31,2021-01-04,2021-01-29,252,252,1.0278648732334603,-0.007354873075140378
2021-01-22,Equity - Equal Weight,Equity,equal_weight,Equal Weight,-0.0028008371292316966,2020-12-31,2021-01-04,2021-01-29,252,252,1.024985991132675,-0.010135110402782366
2021-01-25,Equity - Equal Weight,Equity,equal_weight,Equal Weight,0.0019324605381932257,2020-12-31,2021-01-04,2021-01-29,252,252,1.0269667361127397,-0.008222235565492952
2021-01-26,Equity - Equal Weight,Equity,equal_weight,Equal Weight,-0.005039220682649926,2020-12-31,2021-01-04,2021-01-29,252,252,1.0217916240957268,-0.013220022588623759
2021-01-27,Equity - Equal Weight,Equity,equal_weight,Equal Weight,-0.025815778404221418,2020-12-31,2021-01-04,2021-01-29,252,252,0.9954132779527819,-0.03869451581919847
2021-01-28,Equity - Equal Weight,Equity,equal_weight,Equal Weight,0.010643214962448222,2020-12-31,2021-01-04,2021-01-29,252,252,1.0060076754465086,-0.02846313490648178
2021-01-29,Equity - Equal Weight,Equity,equal_weight,Equal Weight,-0.014793783126670682,2020-12-31,2021-01-04,2021-01-29,252,252,0.9911250160721868,-0.04283584058824086
2021-02-01,Equity - Equal Weight,Equity,equal_weight,Equal Weight,0.008517686014717273,2021-01-29,2021-02-01,2021-02-26,271,252,0.9995671077604215,-0.03468301681383057
2021-02-02,Equity - Equal Weight,Equity,equal_weight,Equal Weight,0.01747388970615294,2021-01-29,2021-02-01,2021-02-26,271,252,1.0170334331553255,-0.017815174318159044
2021-02-03,Equity - Equal Weight,Equity,equal_weight,Equal Weight,0.0019027846101926735,2021-01-29,2021-02-01,2021-02-26,271,252,1.0189686287199848,-0.015946288147486887
2021-02-04,Equity - Equal Weight,Equity,equal_weight,Equal Weight,0.009138734300265725,2021-01-29,2021-02-01,2021-02-26,271,252,1.028280712278163,-0.0069532827376764805
2021-02-05,Equity - Equal Weight,Equity,equal_weight,Equal Weight,0.006317001689045662,2021-01-29,2021-02-01,2021-02-26,271,252,1.0347763632744373,-0.0006802049474289307
