rebalance_date,live_start_date,live_end_date,fund_id,universe,method,method_label,ticker,weight,training_observations,turnover,optimizer_status,sector,asset_class
2020-12-31,2021-01-04,2021-01-29,Equity - Equal Weight,Equity,equal_weight,Equal Weight,ABBV,0.02,252,,equal_weight,Healthcare,Equity
2020-12-31,2021-01-04,2021-01-29,Equity - Equal Weight,Equity,equal_weight,Equal Weight,ABT,0.02,252,,equal_weight,Healthcare,Equity
2020-12-31,2021-01-04,2021-01-29,Equity - Equal Weight,Equity,equal_weight,Equal Weight,ADBE,0.02,252,,equal_weight,Tech,Equity
2020-12-31,2021-01-04,2021-01-29,Equity - Equal Weight,Equity,equal_weight,Equal Weight,AEP,0.02,252,,equal_weight,Utilities,Equity
2020-12-31,2021-01-04,2021-01-29,Equity - Equal Weight,Equity,equal_weight,Equal Weight,AMD,0.02,252,,equal_weight,Tech,Equity
2020-12-31,2021-01-04,2021-01-29,Equity - Equal Weight,Equity,equal_weight,Equal Weight,AMGN,0.02,252,,equal_weight,Healthcare,Equity
2020-12-31,2021-01-04,2021-01-29,Equity - Equal Weight,Equity,equal_weight,Equal Weight,AMT,0.02,252,,equal_weight,RealEstate,Equity
2020-12-31,2021-01-04,2021-01-29,Equity - Equal Weight,Equity,equal_weight,Equal Weight,BA,0.02,252,,equal_weight,Industrials,Equity
2020-12-31,2021-01-04,2021-01-29,Equity - Equal Weight,Equity,equal_weight,Equal Weight,CAT,0.02,252,,equal_weight,Industrials,Equity
2020-12-31,2021-01-04,2021-01-29,Equity - Equal Weight,Equity,equal_weight,Equal Weight,CCI,0.02,252,,equal_weight,RealEstate,Equity
2020-12-31,2021-01-04,2021-01-29,Equity - Equal Weight,Equity,equal_weight,Equal Weight,CMCSA,0.02,252,,equal_weight,Comm,Equity
2020-12-31,2021-01-04,2021-01-29,Equity - Equal Weight,Equity,equal_weight,Equal Weight,COP,0.02,252,,equal_weight,Energy,Equity
2020-12-31,2021-01-04,2021-01-29,Equity - Equal Weight,Equity,equal_weight,Equal Weight,CVX,0.02,252,,equal_weight,Energy,Equity
2020-12-31,2021-01-04,2021-01-29,Equity - Equal Weight,Equity,equal_weight,Equal Weight,D,0.02,252,,equal_weight,Utilities,Equity
2020-12-31,2021-01-04,2021-01-29,Equity - Equal Weight,Equity,equal_weight,Equal Weight,DD,0.02,252,,equal_weight,Materials,Equity
2020-12-31,2021-01-04,2021-01-29,Equity - Equal Weight,Equity,equal_weight,Equal Weight,DIS,0.02,252,,equal_weight,Consumer,Equity
2020-12-31,2021-01-04,2021-01-29,Equity - Equal Weight,Equity,equal_weight,Equal Weight,DOW,0.02,252,,equal_weight,Materials,Equity
2020-12-31,2021-01-04,2021-01-29,Equity - Equal Weight,Equity,equal_weight,Equal Weight,DUK,0.02,252,,equal_weight,Utilities,Equity
2020-12-31,2021-01-04,2021-01-29,Equity - Equal Weight,Equity,equal_weight,Equal Weight,EA,0.02,252,,equal_weight,Comm,Equity
2020-12-31,2021-01-04,2021-01-29,Equity - Equal Weight,Equity,equal_weight,Equal Weight,GE,0.02,252,,equal_weight,Industrials,Equity
2020-12-31,2021-01-04,2021-01-29,Equity - Equal Weight,Equity,equal_weight,Equal Weight,GILD,0.02,252,,equal_weight,Healthcare,Equity
2020-12-31,2021-01-04,2021-01-29,Equity - Equal Weight,Equity,equal_weight,Equal Weight,GS,0.02,252,,equal_weight,Financials,Equity
2020-12-31,2021-01-04,2021-01-29,Equity - Equal Weight,Equity,equal_weight,Equal Weight,INTC,0.02,252,,equal_weight,Tech,Equity
2020-12-31,2021-01-04,2021-01-29,Equity - Equal Weight,Equity,equal_weight,Equal Weight,KO,0.02,252,,equal_weight,Consumer,Equity
2020-12-31,2021-01-04,2021-01-29,Equity - Equal Weight,Equity,equal_weight,Equal Weight,MMM,0.02,252,,equal_weight,Industrials,Equity
2020-12-31,2021-01-04,2021-01-29,Equity - Equal Weight,Equity,equal_weight,Equal Weight,MRK,0.02,252,,equal_weight,Healthcare,Equity
2020-12-31,2021-01-04,2021-01-29,Equity - Equal Weight,Equity,equal_weight,Equal Weight,MS,0.02,252,,equal_weight,Financials,Equity
2020-12-31,2021-01-04,2021-01-29,Equity - Equal Weight,Equity,equal_weight,Equal Weight,NEE,0.02,252,,equal_weight,Utilities,Equity
2020-12-31,2021-01-04,2021-01-29,Equity - Equal Weight,Equity,equal_weight,Equal Weight,NEM,0.02,252,,equal_weight,Materials,Equity
2020-12-31,2021-01-04,2021-01-29,Equity - Equal Weight,Equity,equal_weight,Equal Weight,NKE,0.02,252,,equal_weight,Consumer,Equity
2020-12-31,2021-01-04,2021-01-29,Equity - Equal Weight,Equity,equal_weight,Equal Weight,NUE,0.02,252,,equal_weight,Materials,Equity
2020-12-31,2021-01-04,2021-01-29,Equity - Equal Weight,Equity,equal_weight,Equal Weight,NVDA,0.02,252,,equal_weight,Tech,Equity
2020-12-31,2021-01-04,2021-01-29,Equity - Equal Weight,Equity,equal_weight,Equal Weight,O,0.02,252,,equal_weight,RealEstate,Equity
2020-12-31,2021-01-04,2021-01-29,Equity - Equal Weight,Equity,equal_weight,Equal Weight,OXY,0.02,252,,equal_weight,Energy,Equity
2020-12-31,2021-01-04,2021-01-29,Equity - Equal Weight,Equity,equal_weight,Equal Weight,PLD,0.02,252,,equal_weight,RealEstate,Equity
2020-12-31,2021-01-04,2021-01-29,Equity - Equal Weight,Equity,equal_weight,Equal Weight,PSA,0.02,252,,equal_weight,RealEstate,Equity
2020-12-31,2021-01-04,2021-01-29,Equity - Equal Weight,Equity,equal_weight,Equal Weight,QCOM,0.02,252,,equal_weight,Tech,Equity
2020-12-31,2021-01-04,2021-01-29,Equity - Equal Weight,Equity,equal_weight,Equal Weight,SBUX,0.02,252,,equal_weight,Consumer,Equity
2020-12-31,2021-01-04,2021-01-29,Equity - Equal Weight,Equity,equal_weight,Equal Weight,SHW,0.02,252,,equal_weight,Materials,Equity
2020-12-31,2021-01-04,2021-01-29,Equity - Equal Weight,Equity,equal_weight,Equal Weight,SLB,0.02,252,,equal_weight,Energy,Equity
2020-12-31,2021-01-04,2021-01-29,Equity - Equal Weight,Equity,equal_weight,Equal Weight,SO,0.02,252,,equal_weight,Utilities,Equity
2020-12-31,2021-01-04,2021-01-29,Equity - Equal Weight,Equity,equal_weight,Equal Weight,T,0.02,252,,equal_weight,Comm,Equity
2020-12-31,2021-01-04,2021-01-29,Equity - Equal Weight,Equity,equal_weight,Equal Weight,TMUS,0.02,252,,equal_weight,Comm,Equity
2020-12-31,2021-01-04,2021-01-29,Equity - Equal Weight,Equity,equal_weight,Equal Weight,TTWO,0.02,252,,equal_weight,Comm,Equity
2020-12-31,2021-01-04,2021-01-29,Equity - Equal Weight,Equity,equal_weight,Equal Weight,UPS,0.02,252,,equal_weight,Industrials,Equity
2020-12-31,2021-01-04,2021-01-29,Equity - Equal Weight,Equity,equal_weight,Equal Weight,USB,0.02,252,,equal_weight,Financials,Equity
2020-12-31,2021-01-04,2021-01-29,Equity - Equal Weight,Equity,equal_weight,Equal Weight,V,0.02,252,,equal_weight,Financials,Equity
2020-12-31,2021-01-04,2021-01-29,Equity - Equal Weight,Equity,equal_weight,Equal Weight,WFC,0.02,252,,equal_weight,Financials,Equity
2020-12-31,2021-01-04,2021-01-29,Equity - Equal Weight,Equity,equal_weight,Equal Weight,WMT,0.02,252,,equal_weight,Consumer,Equity
2020-12-31,2021-01-04,2021-01-29,Equity - Equal Weight,Equity,equal_weight,Equal Weight,XOM,0.02,252,,equal_weight,Energy,Equity
2021-01-29,2021-02-01,2021-02-26,Equity - Equal Weight,Equity,equal_weight,Equal Weight,ABBV,0.02,271,0.0,equal_weight,Healthcare,Equity
