date,fund_id,base_fund_id,universe,method,method_label,daily_return,rebalance_date,live_start_date,live_end_date,periods_per_year,tilt_strength,growth_of_1,drawdown
2021-01-04,Equity - Minimum Variance Sentiment Tilt,Equity - Minimum Variance,Equity,sentiment_tilt,Sentiment Tilt,0.005693785354216613,2020-12-31,2021-01-04,2021-01-29,252,0.15,1.0056937853542167,0.0
2021-01-05,Equity - Minimum Variance Sentiment Tilt,Equity - Minimum Variance,Equity,sentiment_tilt,Sentiment Tilt,0.0008813322813461613,2020-12-31,2021-01-04,2021-01-29,252,0.15,1.0065801357523985,0.0
2021-01-06,Equity - Minimum Variance Sentiment Tilt,Equity - Minimum Variance,Equity,sentiment_tilt,Sentiment Tilt,0.0067869825080521876,2020-12-31,2021-01-04,2021-01-29,252,0.15,1.0134117775267029,0.0
2021-01-07,Equity - Minimum Variance Sentiment Tilt,Equity - Minimum Variance,Equity,sentiment_tilt,Sentiment Tilt,0.005866007952489361,2020-12-31,2021-01-04,2021-01-29,252,0.15,1.0193564590728208,0.0
2021-01-08,Equity - Minimum Variance Sentiment Tilt,Equity - Minimum Variance,Equity,sentiment_tilt,Sentiment Tilt,-0.002986709806608444,2020-12-31,2021-01-04,2021-01-29,252,0.15,1.0163119371400784,-0.002986709806608423
2021-01-11,Equity - Minimum Variance Sentiment Tilt,Equity - Minimum Variance,Equity,sentiment_tilt,Sentiment Tilt,0.00037003018460327834,2020-12-31,2021-01-04,2021-01-29,252,0.15,1.0166880032337928,-0.0026177847947862487
2021-01-12,Equity - Minimum Variance Sentiment Tilt,Equity - Minimum Variance,Equity,sentiment_tilt,Sentiment Tilt,0.002133425249640581,2020-12-31,2021-01-04,2021-01-29,252,0.15,1.0188570310908984,-0.0004899443933250591
2021-01-13,Equity - Minimum Variance Sentiment Tilt,Equity - Minimum Variance,Equity,sentiment_tilt,Sentiment Tilt,-0.0020552940832139644,2020-12-31,2021-01-04,2021-01-29,252,0.15,1.0167629802632563,-0.0025442314967263346
2021-01-14,Equity - Minimum Variance Sentiment Tilt,Equity - Minimum Variance,Equity,sentiment_tilt,Sentiment Tilt,0.0039019610991221556,2020-12-31,2021-01-04,2021-01-29,252,0.15,1.020730349859271,0.0
2021-01-15,Equity - Minimum Variance Sentiment Tilt,Equity - Minimum Variance,Equity,sentiment_tilt,Sentiment Tilt,-0.006131843372131844,2020-12-31,2021-01-04,2021-01-29,252,0.15,1.0144713912287526,-0.0061318433721317955
2021-01-19,Equity - Minimum Variance Sentiment Tilt,Equity - Minimum Variance,Equity,sentiment_tilt,Sentiment Tilt,0.008659145107365148,2020-12-31,2021-01-04,2021-01-29,252,0.15,1.023255846212673,0.0
2021-01-20,Equity - Minimum Variance Sentiment Tilt,Equity - Minimum Variance,Equity,sentiment_tilt,Sentiment Tilt,0.015258895084416491,2020-12-31,2021-01-04,2021-01-29,252,0.15,1.038869599814548,0.0
2021-01-21,Equity - Minimum Variance Sentiment Tilt,Equity - Minimum Variance,Equity,sentiment_tilt,Sentiment Tilt,-0.00947052653334986,2020-12-31,2021-01-04,2021-01-29,252,0.15,1.0290309577048138,-0.009470526533349899
2021-01-22,Equity - Minimum Variance Sentiment Tilt,Equity - Minimum Variance,Equity,sentiment_tilt,Sentiment Tilt,-0.00016061193456142625,2020-12-31,2021-01-04,2021-01-29,252,0.15,1.0288656830519733,-0.009629617388323353
2021-01-25,Equity - Minimum Variance Sentiment Tilt,Equity - Minimum Variance,Equity,sentiment_tilt,Sentiment Tilt,0.0030193738279302718,2020-12-31,2021-01-04,2021-01-29,252,0.15,1.0319722131678362,-0.006639318975108277
2021-01-26,Equity - Minimum Variance Sentiment Tilt,Equity - Minimum Variance,Equity,sentiment_tilt,Sentiment Tilt,-0.0015445972348375808,2020-12-31,2021-01-04,2021-01-29,252,0.15,1.030378231740948,-0.008173661136215649
2021-01-27,Equity - Minimum Variance Sentiment Tilt,Equity - Minimum Variance,Equity,sentiment_tilt,Sentiment Tilt,-0.022782775796661884,2020-12-31,2021-01-04,2021-01-29,252,0.15,1.006903355501433,-0.03077021824377324
2021-01-28,Equity - Minimum Variance Sentiment Tilt,Equity - Minimum Variance,Equity,sentiment_tilt,Sentiment Tilt,0.001441772046760981,2020-12-31,2021-01-04,2021-01-29,252,0.15,1.008355080613185,-0.029372809837548863
2021-01-29,Equity - Minimum Variance Sentiment Tilt,Equity - Minimum Variance,Equity,sentiment_tilt,Sentiment Tilt,-0.010754700869903083,2020-12-31,2021-01-04,2021-01-29,252,0.15,0.9975105233505431,-0.039811614923940475
2021-02-01,Equity - Minimum Variance Sentiment Tilt,Equity - Minimum Variance,Equity,sentiment_tilt,Sentiment Tilt,0.0006286959847920234,2021-01-29,2021-02-01,2021-02-26,252,0.15,0.9981376542113615,-0.03920794834159913
2021-02-02,Equity - Minimum Variance Sentiment Tilt,Equity - Minimum Variance,Equity,sentiment_tilt,Sentiment Tilt,0.0065073258442564005,2021-01-29,2021-02-01,2021-02-26,252,0.15,1.0046328611647366,-0.03295576139288625
2021-02-03,Equity - Minimum Variance Sentiment Tilt,Equity - Minimum Variance,Equity,sentiment_tilt,Sentiment Tilt,-0.0032336241599131023,2021-01-29,2021-02-01,2021-02-26,252,0.15,1.0013842560730317,-0.03608281900655097
2021-02-04,Equity - Minimum Variance Sentiment Tilt,Equity - Minimum Variance,Equity,sentiment_tilt,Sentiment Tilt,0.001987067337058656,2021-01-29,2021-02-01,2021-02-26,252,0.15,1.0033740740201191,-0.034167450660569254
2021-02-05,Equity - Minimum Variance Sentiment Tilt,Equity - Minimum Variance,Equity,sentiment_tilt,Sentiment Tilt,0.014892773701001321,2021-01-29,2021-02-01,2021-02-26,252,0.15,1.0183170970419526,-0.019783525070195873
2021-02-08,Equity - Minimum Variance Sentiment Tilt,Equity - Minimum Variance,Equity,sentiment_tilt,Sentiment Tilt,0.004364996690792162,2021-01-29,2021-02-01,2021-02-26,252,0.15,1.0227620478007178,-0.015504883400867309
2021-02-09,Equity - Minimum Variance Sentiment Tilt,Equity - Minimum Variance,Equity,sentiment_tilt,Sentiment Tilt,2.2782203949963092e-05,2021-01-29,2021-02-01,2021-02-26,252,0.15,1.022785348574283,-0.015482454432333204
2021-02-10,Equity - Minimum Variance Sentiment Tilt,Equity - Minimum Variance,Equity,sentiment_tilt,Sentiment Tilt,-0.007210793061250475,2021-01-29,2021-02-01,2021-02-26,252,0.15,1.015410255079635,-0.022581606718591996
2021-02-11,Equity - Minimum Variance Sentiment Tilt,Equity - Minimum Variance,Equity,sentiment_tilt,Sentiment Tilt,-0.004972557957074906,2021-01-29,2021-02-01,2021-02-26,252,0.15,1.0103610687360431,-0.02744187632749484
2021-02-12,Equity - Minimum Variance Sentiment Tilt,Equity - Minimum Variance,Equity,sentiment_tilt,Sentiment Tilt,0.00436840573020045,2021-01-29,2021-02-01,2021-02-26,252,0.15,1.0147747358182813,-0.023193347847090817
2021-02-16,Equity - Minimum Variance Sentiment Tilt,Equity - Minimum Variance,Equity,sentiment_tilt,Sentiment Tilt,-0.008373504468471337,2021-01-29,2021-02-01,2021-02-26,252,0.15,1.0062775150334151,-0.03137264271372564
2021-02-17,Equity - Minimum Variance Sentiment Tilt,Equity - Minimum Variance,Equity,sentiment_tilt,Sentiment Tilt,0.006045061135568231,2021-01-29,2021-02-01,2021-02-26,252,0.15,1.0123605241311397,-0.025517231121346295
2021-02-18,Equity - Minimum Variance Sentiment Tilt,Equity - Minimum Variance,Equity,sentiment_tilt,Sentiment Tilt,-0.013111851899881986,2021-01-29,2021-02-01,2021-02-26,252,0.15,0.9990866028694454,-0.03829450486587005
2021-02-19,Equity - Minimum Variance Sentiment Tilt,Equity - Minimum Variance,Equity,sentiment_tilt,Sentiment Tilt,-0.006683169473367279,2021-01-29,2021-02-01,2021-02-26,252,0.15,0.9924095377838981,-0.0447217456733201
2021-02-22,Equity - Minimum Variance Sentiment Tilt,Equity - Minimum Variance,Equity,sentiment_tilt,Sentiment Tilt,0.0008389820478641415,2021-01-29,2021-02-01,2021-02-26,252,0.15,0.9932421515702278,-0.04392028436722506
2021-02-23,Equity - Minimum Variance Sentiment Tilt,Equity - Minimum Variance,Equity,sentiment_tilt,Sentiment Tilt,-0.007449944148581576,2021-01-29,2021-02-01,2021-02-26,252,0.15,0.9858425530150126,-0.051043024850281005
2021-02-24,Equity - Minimum Variance Sentiment Tilt,Equity - Minimum Variance,Equity,sentiment_tilt,Sentiment Tilt,-0.0021400738349216216,2021-01-29,2021-02-01,2021-02-26,252,0.15,0.9837327771619527,-0.05307386284326543
2021-02-25,Equity - Minimum Variance Sentiment Tilt,Equity - Minimum Variance,Equity,sentiment_tilt,Sentiment Tilt,-0.008957550025294884,2021-01-29,2021-02-01,2021-02-26,252,0.15,0.9749209415990023,-0.061556001087106016
2021-02-26,Equity - Minimum Variance Sentiment Tilt,Equity - Minimum Variance,Equity,sentiment_tilt,Sentiment Tilt,-0.0178206368165841,2021-01-29,2021-02-01,2021-02-26,252,0.15,0.9575472295738844,-0.07827967076443554
2021-03-01,Equity - Minimum Variance Sentiment Tilt,Equity - Minimum Variance,Equity,sentiment_tilt,Sentiment Tilt,0.008992131610228018,2021-02-26,2021-03-01,2021-03-31,252,0.15,0.9661576202852219,-0.06999144025612669
2021-03-02,Equity - Minimum Variance Sentiment Tilt,Equity - Minimum Variance,Equity,sentiment_tilt,Sentiment Tilt,0.0044468206183725335,2021-02-26,2021-03-01,2021-03-31,252,0.15,0.970453949911704,-0.06585585901739466
2021-03-03,Equity - Minimum Variance Sentiment Tilt,Equity - Minimum Variance,Equity,sentiment_tilt,Sentiment Tilt,-0.014048204891428507,2021-02-26,2021-03-01,2021-03-31,252,0.15,0.9568208139856482,-0.0789789073080458
2021-03-04,Equity - Minimum Variance Sentiment Tilt,Equity - Minimum Variance,Equity,sentiment_tilt,Sentiment Tilt,-0.003663084656724172,2021-02-26,2021-03-01,2021-03-31,252,0.15,0.953315898342703,-0.08235268554120512
2021-03-05,Equity - Minimum Variance Sentiment Tilt,Equity - Minimum Variance,Equity,sentiment_tilt,Sentiment Tilt,0.01438811342989189,2021-02-26,2021-03-01,2021-03-31,252,0.15,0.9670323156225772,-0.06914947189213616
2021-03-08,Equity - Minimum Variance Sentiment Tilt,Equity - Minimum Variance,Equity,sentiment_tilt,Sentiment Tilt,-0.006250530298033387,2021-02-26,2021-03-01,2021-03-31,252,0.15,0.9609878508346009,-0.07496778132101478
2021-03-09,Equity - Minimum Variance Sentiment Tilt,Equity - Minimum Variance,Equity,sentiment_tilt,Sentiment Tilt,0.008141038966264853,2021-02-26,2021-03-01,2021-03-31,252,0.15,0.9688112903743525,-0.0674370579836987
2021-03-10,Equity - Minimum Variance Sentiment Tilt,Equity - Minimum Variance,Equity,sentiment_tilt,Sentiment Tilt,0.010500267842455358,2021-02-26,2021-03-01,2021-03-31,252,0.15,0.978984068412078,-0.05764489731257938
2021-03-11,Equity - Minimum Variance Sentiment Tilt,Equity - Minimum Variance,Equity,sentiment_tilt,Sentiment Tilt,0.0008536002779914953,2021-02-26,2021-03-01,2021-03-31,252,0.15,0.9798197294850238,-0.056840502734958664
2021-03-12,Equity - Minimum Variance Sentiment Tilt,Equity - Minimum Variance,Equity,sentiment_tilt,Sentiment Tilt,0.006222657582354872,2021-02-26,2021-03-01,2021-03-31,252,0.15,0.9859168121540448,-0.050971544137932256
2021-03-15,Equity - Minimum Variance Sentiment Tilt,Equity - Minimum Variance,Equity,sentiment_tilt,Sentiment Tilt,0.012224125425465875,2021-02-26,2021-03-01,2021-03-31,252,0.15,0.9979687829248912,-0.03937050126113828
2021-03-16,Equity - Minimum Variance Sentiment Tilt,Equity - Minimum Variance,Equity,sentiment_tilt,Sentiment Tilt,0.004375055059966612,2021-02-26,2021-03-01,2021-03-31,252,0.15,1.0023349512983155,-0.035167694311927566
2021-03-17,Equity - Minimum Variance Sentiment Tilt,Equity - Minimum Variance,Equity,sentiment_tilt,Sentiment Tilt,-0.007525496205838917,2021-02-26,2021-03-01,2021-03-31,252,0.15,0.9947918834253403,-0.04242853616765396
2021-03-18,Equity - Minimum Variance Sentiment Tilt,Equity - Minimum Variance,Equity,sentiment_tilt,Sentiment Tilt,-0.007804405958615578,2021-02-26,2021-03-01,2021-03-31,252,0.15,0.9870281237227532,-0.04990181260578741
