sector,observations,mean_score_100,min_score_100,max_score_100,mean_ticker_coverage,total_headlines
Utilities,962,59.86884817268769,30.910000000000004,90.36999999999999,0.6199584199584199,6319
RealEstate,940,57.29383439301759,18.755,88.915,0.5948936170212766,5339
Tech,1006,56.518075770485915,28.58583333333333,79.1399380952381,0.8646123260437375,26632
Healthcare,997,56.20788586712651,31.019999999999996,82.985,0.8433299899699098,14697
Energy,996,56.15576803810038,33.001527777777774,79.295,0.8526104417670683,19365
Industrials,998,55.87545071251666,36.925000000000004,77.54666666666667,0.7579158316633267,13156
Comm,997,55.61944933697586,28.925,81.245,0.7634904714142428,11783
Consumer,998,55.542410324007605,41.744791666666664,73.10536666666667,0.9466933867735471,25877
Materials,940,55.511887889157535,18.755,92.955,0.5685106382978723,5393
Financials,998,55.40001106668072,29.3225,78.276,0.8819639278557114,18269
