result_area,numbered_path,canonical_path,canonical_exists,size_match,hash_match,numbered_size,canonical_size,action
data,results/data/Number_data/01_combined_returns_panel.csv,results/data/combined_returns_panel.csv,True,True,True,3235695,3235695,already_matched
data,results/data/Number_data/01_crypto_returns_aligned.csv,results/data/crypto_returns_aligned.csv,True,True,True,553994,553994,already_matched
data,results/data/Number_data/01_equity_returns.csv,results/data/equity_returns.csv,True,True,True,2681746,2681746,already_matched
data,results/data/Number_data/01_headline_daily_panel.csv,results/data/headline_daily_panel.csv,True,True,True,10375059,10375059,already_matched
data,results/data/Number_data/02_fund_returns.csv,results/data/fund_returns.csv,True,True,True,1779883,1779883,already_matched
data,results/data/Number_data/02_fund_weights.csv,results/data/fund_weights.csv,True,True,True,2666172,2666172,already_matched
data,results/data/Number_data/03_fusion_fund_returns.csv,results/data/fusion_fund_returns.csv,True,True,True,165129,165129,already_matched
data,results/data/Number_data/03_fusion_fund_weights.csv,results/data/fusion_fund_weights.csv,True,True,True,433736,433736,already_matched
data,results/data/Number_data/03_market_fear_greed_index.csv,results/data/market_fear_greed_index.csv,True,True,True,63934,63934,already_matched
data,results/data/Number_data/03_sector_sentiment_index.csv,results/data/sector_sentiment_index.csv,True,True,True,1990650,1990650,already_matched
data,results/data/Number_data/03_ticker_sentiment_scores.csv,results/data/ticker_sentiment_scores.csv,True,True,True,4927992,4927992,already_matched
data,results/data/Number_data/04_app_data_manifest.csv,results/data/app_data_manifest.csv,True,True,True,813,813,created_canonical_from_numbered
data,results/data/Number_data/05_report_data_manifest.csv,results/data/report_data_manifest.csv,True,True,True,1065,1065,created_canonical_from_numbered
tables,results/tables/Number_tables/02_latest_holdings.csv,results/tables/latest_holdings.csv,True,True,True,29920,29920,already_matched
tables,results/tables/Number_tables/02_performance_metrics.csv,results/tables/performance_metrics.csv,True,True,True,3436,3436,already_matched
tables,results/tables/Number_tables/03_fusion_comparison.csv,results/tables/fusion_comparison.csv,True,True,True,692,692,already_matched
tables,results/tables/Number_tables/03_fusion_diagnostics.csv,results/tables/fusion_diagnostics.csv,True,True,True,268,268,already_matched
tables,results/tables/Number_tables/03_fusion_metrics.csv,results/tables/fusion_metrics.csv,True,True,True,605,605,already_matched
tables,results/tables/Number_tables/03_sector_sentiment_summary.csv,results/tables/sector_sentiment_summary.csv,True,True,True,928,928,already_matched
tables,results/tables/Number_tables/03_sentiment_coverage_summary.csv,results/tables/sentiment_coverage_summary.csv,True,True,True,1123,1123,already_matched
tables,results/tables/Number_tables/04_app_table_manifest.csv,results/tables/app_table_manifest.csv,True,True,True,743,743,created_canonical_from_numbered
tables,results/tables/Number_tables/05_report_table_manifest.csv,results/tables/report_table_manifest.csv,True,True,True,631,631,created_canonical_from_numbered
figures,results/figures/Number_figures/02_combined_fund_drawdowns.png,results/figures/combined_fund_drawdowns.png,True,True,True,270102,270102,already_matched
figures,results/figures/Number_figures/02_combined_risk_parity_weights.png,results/figures/combined_risk_parity_weights.png,True,True,True,83668,83668,already_matched
figures,results/figures/Number_figures/02_fund_growth_of_1.png,results/figures/fund_growth_of_1.png,True,True,True,437142,437142,already_matched
figures,results/figures/Number_figures/02_fund_risk_return_scatter.png,results/figures/fund_risk_return_scatter.png,True,True,True,83706,83706,already_matched
figures,results/figures/Number_figures/02_fund_sharpe_barplot.png,results/figures/fund_sharpe_barplot.png,True,True,True,82809,82809,already_matched
figures,results/figures/Number_figures/03_fusion_drawdown_comparison.png,results/figures/fusion_drawdown_comparison.png,True,True,True,185614,185614,already_matched
figures,results/figures/Number_figures/03_fusion_growth_comparison.png,results/figures/fusion_growth_comparison.png,True,True,True,192504,192504,already_matched
figures,results/figures/Number_figures/03_market_fear_greed_index.png,results/figures/market_fear_greed_index.png,True,True,True,117492,117492,already_matched
figures,results/figures/Number_figures/03_sector_sentiment_index.png,results/figures/sector_sentiment_index.png,True,True,True,710621,710621,already_matched
figures,results/figures/Number_figures/03_sector_sentiment_ranking.png,results/figures/sector_sentiment_ranking.png,True,True,True,52174,52174,already_matched
figures,results/figures/Number_figures/04_app_page_data_map.png,results/figures/app_page_data_map.png,True,True,True,223188,223188,created_canonical_from_numbered
figures,results/figures/Number_figures/05_report_combined_asset_class_weights.png,results/figures/report_combined_asset_class_weights.png,True,True,True,103681,103681,already_matched
figures,results/figures/Number_figures/05_report_projectb_workflow_data_flow.png,results/figures/report_projectb_workflow_data_flow.png,True,True,True,624266,624266,already_matched
