fund_id,universe,method,method_label,first_live_date,last_live_date,observations,annualisation_factor,annualised_return,annualised_volatility,sharpe_ratio,max_drawdown,final_growth_of_1,average_turnover,initial_window,rebalance_frequency,risk_free_rate,mean_daily_return,daily_volatility
Combined - Equal Weight,Combined,equal_weight,Equal Weight,2021-01-04,2023-12-29,753,252,0.14979185312494026,0.21251687241172795,0.7048468736860342,-0.28746987990265405,1.5175255920297184,0.0,252,monthly,0.0,0.0006436890981373335,0.013387304614444656
Combined - Maximum Sharpe,Combined,max_sharpe,Maximum Sharpe,2021-01-04,2023-12-29,753,252,0.08305687694483987,0.3479336877035997,0.23871467431919088,-0.5273698170977981,1.2692327737681695,0.17993103926627863,252,monthly,0.0,0.0005563757984242002,0.021917762152508017
Combined - Minimum Variance,Combined,min_variance,Minimum Variance,2021-01-04,2023-12-29,753,252,0.07035366280824062,0.12787261507247966,0.5501855324407291,-0.18303828745312523,1.2252660024355257,0.022439540921604315,252,monthly,0.0,0.00030225556850792544,0.008055217594696924
Combined - Risk Parity,Combined,risk_parity,Risk Parity,2021-01-04,2023-12-29,753,252,0.1280551779018464,0.1723459091541274,0.7430125758733722,-0.22924756711607697,1.4334021439366047,0.0031327931143637585,252,monthly,0.0,0.0005371818133455403,0.010856771788122652
Crypto - Equal Weight,Crypto,equal_weight,Equal Weight,2021-01-01,2023-12-31,1095,365,0.3418797885401821,0.8042210448398298,0.425106742398505,-0.8159730614257941,2.4162442566426057,0.0,365,monthly,0.0,0.0017018557830837952,0.04209485339196639
Crypto - Maximum Sharpe,Crypto,max_sharpe,Maximum Sharpe,2021-01-01,2023-12-31,1095,365,0.05448584300753123,0.789829972007834,0.0689842686888955,-0.8545694874951768,1.1725254027956629,0.11034397028939513,365,monthly,0.0,0.0010068614233285096,0.04134159021276592
Crypto - Minimum Variance,Crypto,min_variance,Minimum Variance,2021-01-01,2023-12-31,1095,365,0.2509554550367643,0.6430757991212301,0.39024241835829865,-0.7555517161445102,1.9576071197107892,0.013053201406740031,365,monthly,0.0,0.0011809871802936388,0.03366012572988706
Crypto - Risk Parity,Crypto,risk_parity,Risk Parity,2021-01-01,2023-12-31,1095,365,0.3579444569211674,0.7875217752571547,0.45452007572017344,-0.8041961693657524,2.5040674329289585,0.0030976664972551774,365,monthly,0.0,0.001697679303808514,0.04122077367303086
Equity - Equal Weight,Equity,equal_weight,Equal Weight,2021-01-04,2023-12-29,753,252,0.12643529221978822,0.16166197477746672,0.7820966704992363,-0.20321862626913656,1.4272603332576044,0.0,252,monthly,0.0,0.0005243668857313979,0.010183747183732697
Equity - Maximum Sharpe,Equity,max_sharpe,Maximum Sharpe,2021-01-04,2023-12-29,753,252,0.13400610184536998,0.23722597119925773,0.5648879891519621,-0.3829042204617258,1.456116057043501,0.16121370161653173,252,monthly,0.0,0.0006104881645658828,0.014943831531404926
Equity - Minimum Variance,Equity,min_variance,Minimum Variance,2021-01-04,2023-12-29,753,252,0.07035519907599208,0.12787231774184016,0.5501988258164783,-0.18303579969007622,1.2252712573427498,0.022435267686482144,252,monthly,0.0,0.0003022611132623238,0.008055198864627178
Equity - Risk Parity,Equity,risk_parity,Risk Parity,2021-01-04,2023-12-29,753,252,0.10113015998258312,0.1498731292268595,0.6747717920101924,-0.1955811850980833,1.333576381180551,0.002239018881708077,252,monthly,0.0,0.00042688323291437244,0.009441119717745626
